PSCV,FSCV,CV
83,94,28
87,100,59
94,98,46
86,98,36
74,92,35
82,97,52
79,95,35
83,95,79
88,97,24
93,97,71
88,99,58
79,86,38
84,95,37
71,94,52
79,97,46
93,97,85
84,92,46
88,95,40
84,93,69
82,89,40
84,100,53
84,95,46
86,98,43
87,99,90
89,97,61
86,102,42
93,102,49
83,98,52
72,97,47
84,91,72
93,102,60
95,95,33
94,100,70
87,99,41
88,93,36
89,92,67
79,102,27
86,102,24
92,100,37
86,89,48
92,96,52
89,96,28
83,95,38
64,95,28
80,94,53
86,103,53
78,101,45
83,98,23
83,93,40
76,91,61
88,100,36
80,95,44
83,97,44
84,96,85
88,95,93
84,97,55
84,98,41
93,95,40
87,92,33
85,89,35
94,97,42
84,94,26
83,102,24
88,97,37
91,96,61
87,99,42
83,94,28
88,102,38
82,92,38
81,90,42
81,100,52
98,99,53
72,95,55
89,99,75
94,97,51
95,99,57
97,99,50
87,101,34
92,98,51
83,97,40
86,99,59
88,100,62
86,98,28
89,98,54
91,96,52
86,100,29
90,94,74
84,90,71
74,94,36
84,92,54
82,93,36
82,96,64
80,99,54
81,96,51
83,96,41
93,100,62
86,94,68
91,97,47
89,96,25
79,95,40
90,98,16
81,95,55
88,100,50
78,94,29
89,97,50
93,98,41
89,95,33
77,97,41
93,99,27
83,87,16
86,92,38
76,99,34
77,92,22
97,99,57
90,97,37
82,99,105
87,99,37
91,96,39
78,98,40
91,101,53
93,99,33
91,99,37
77,100,49
80,100,32
81,93,62
92,95,37
84,102,49
82,93,22
70,95,56
82,93,43
93,99,59
84,90,49
79,90,60
84,93,47
86,100,36
91,95,41
91,98,64
80,92,42
87,97,75
83,98,69
87,97,39
79,95,55
93,95,25
90,92,69
79,99,79
82,86,31
71,92,31
92,100,39
92,99,42
74,92,32
87,96,70
86,94,43
93,97,37
81,95,28
82,98,25
87,94,49
83,90,31
83,91,28
73,88,46
83,94,32
89,92,55
90,92,41
83,99,64
86,95,45
93,99,68
84,105,64
86,92,29
83,96,79
87,98,29
88,100,49
87,98,46
85,98,81
88,100,81
93,96,26
92,100,77
81,96,45
95,101,49
85,95,30
74,98,60
89,97,44
90,101,89
92,95,29
96,98,46
87,91,47
88,96,21
75,94,50
87,97,56
84,89,62
76,100,47
91,101,57
86,100,76
85,90,29
81,103,13
88,96,30
91,94,32
80,89,51
82,97,57
91,97,67
86,98,66
81,96,22
